Day,Dead_Fish,Tank
May-01,1,T1
May-02,1,T8
May-02,1,T8
May-02,1,T8
May-02,1,T7
May-02,1,T1
May-03,1,T10
May-03,1,T10
May-03,1,T10
May-03,1,T10
May-03,1,T11
May-03,1,T8
May-03,1,T7
May-03,1,T5
May-03,1,T1
May-03,1,T1
May-04,1,T10
May-04,1,T10
May-04,1,T8
May-04,1,T7
May-04,1,T7
May-04,1,T5
May-04,1,T4
May-04,1,T4
May-04,1,T3
May-04,1,T3
May-04,1,T2
May-04,1,T1
May-05,1,T12
May-05,1,T11
May-05,1,T11
May-05,1,T10
May-05,1,T10
May-05,1,T8
May-05,1,T7
May-05,1,T7
May-05,1,T6
May-05,1,T4
May-05,1,T4
May-05,1,T4
May-05,1,T4
May-05,1,T3
May-05,1,T3
May-05,1,T3
May-05,1,T3
May-06,1,T12
May-06,1,T12
May-06,1,T10
May-06,1,T9
May-06,1,T6
May-06,1,T5
May-06,1,T5
May-06,1,T4
May-06,1,T4
May-06,1,T3
May-06,1,T3
May-06,1,T9
May-07,1,T12
May-07,1,T12
May-07,1,T12
May-07,1,T11
May-07,1,T10
May-07,1,T10
May-07,1,T10
May-07,1,T7
May-07,1,T4
May-07,1,T4
May-07,1,T4
May-07,1,T4
May-07,1,T3
May-07,1,T3
May-07,1,T3
May-07,1,T3
May-07,1,T3
May-07,1,T1
May-08,1,T12
May-08,1,T11
May-08,1,T11
May-08,1,T10
May-08,1,T10
May-08,1,T9
May-08,1,T8
May-08,1,T7
May-08,1,T7
May-08,1,T6
May-08,1,T5
May-08,1,T5
May-08,1,T4
May-08,1,T4
May-08,1,T4
May-08,1,T4
May-08,1,T4
May-08,1,T4
May-08,1,T4
May-08,1,T3
May-08,1,T3
May-08,1,T2
May-08,1,T2
May-08,1,T1
May-09,1,T12
May-09,1,T9
May-09,1,T7
May-09,1,T4
May-09,1,T4
May-09,1,T1
May-09,1,T1
May-09,1,T1
May-09,1,T2
May-09,1,T2
May-09,1,T3
May-10,1,T11
May-10,1,T10
May-10,1,T9
May-10,1,T7
May-10,1,T6
May-10,1,T3
May-10,1,T3
May-10,1,T3
May-10,1,T3
May-11,1,T7
May-11,1,T4
May-11,1,T1
May-11,1,T5
May-11,1,T2
May-11,1,T3
May-12,1,T9
May-12,1,T8
May-12,1,T5
May-12,1,T4
May-12,1,T4
May-13,1,T10
May-13,1,T10
May-13,1,T10
May-13,1,T7
May-13,1,T5
May-13,1,T4
May-13,1,T1
May-13,1,T1
May-13,1,T1
May-14,1,T7
May-14,1,T5
May-14,1,T1
May-14,1,T1
May-15,1,T8
May-15,1,T12
May-15,1,T12
May-16,1,T11
May-16,1,T11
May-16,1,T10
May-16,1,T4
May-16,1,T2
May-16,1,T1
