OTU,N1C,N2C,N3C,N4C,N5C,N6C,N1M,N3M,N4M,PCR_BLK_3,PCR_BLK_4
OTU2,0,0,11,0,0,13,0,0,0,0,0
OTU3,418,163,0,242,156,116,252,3190,2012,0,0
OTU5,0,17,0,0,0,0,0,0,168,3005,381
OTU6,103,32,0,15,162,0,9,63,1078,0,0
OTU7,0,0,0,0,0,0,32,181,1664,0,0
OTU9,0,0,0,4,0,0,0,18,0,0,0
OTU10,44,0,0,0,0,0,18,0,0,0,0
OTU11,0,0,0,0,0,0,0,87,0,0,0
OTU13,0,0,0,0,0,0,0,34,0,0,0
OTU14,429,0,0,0,208,0,0,128,0,0,0
OTU16,9,0,0,53,0,0,0,0,0,0,0
OTU19,0,0,0,0,0,0,8,0,0,0,0
OTU22,0,28,0,0,0,0,0,0,0,0,0
OTU28,0,48,0,0,0,0,0,0,0,0,0
OTU29,0,0,0,0,0,0,0,67,0,0,0
OTU41,0,0,0,0,72,0,0,0,0,0,0
OTU43,28,0,0,0,0,0,0,0,0,0,0
OTU59,5,0,0,0,0,0,0,0,0,0,0
OTU68,0,0,0,44,0,0,0,0,0,0,0
OTU85,0,23,0,0,0,0,0,0,0,0,0
OTU87,0,0,0,0,0,0,0,0,16,0,0
OTU97,0,0,0,0,0,0,0,0,10,0,0
OTU124,0,0,0,0,0,0,0,5,0,0,0
