OTU,28C,22C,13M,34M,08M,12M,15C,39M,04C,76C,26C,48M,70M,01M,51M,69M,34C,57M,70C,44C,41M,66C,62M,39C,22M,72C,72M,08C,41C,25M,58M,43C,73C,28M,44M,01C,53M,15M,77M,79C,04M,62C,25C,69C,50M,55C,78M,56M,49C,23C,65M,79M,23M,68C,12C,02C,77C,75C,76M,67C,31M,53C,26M,10C,59M,03C,58C,68M,57C,13C,10M,73M,51C,64C,59C,66M,35C,43M,56C,03M,02M,49M,31C,71M,16M,60M,16C,60C,74M,78C,32C,32M,33C,48C,11M,80C,46C,37C,52C,24C,21C,74C,47C,35M,45C,36C,29C,11C,33M,52M,27M,20M,40M,27C,54C,30C,09C,19C,19M,18C,06C,20C,40C,17C,29M,61C,54M,38C,07C,37M,14C,09M,06M,38M,30M,42C,63M,17M,47M,80M,63C,14M,18M,07M,42M,75M,64M,61M,24M,05C,21M,71C,36M,N3C,N6C,05M,67M,N3M,N4M,N1M,N1C,N2C,N4C,N5C,45M,PCR_BLK_3,PCR_BLK_4
OTU1,155873,154892,127653,60866,114694,89282,45244,49319,76660,69510,35780,73513,62188,71679,32252,33820,63072,58879,53695,26411,147669,22319,45977,23046,19871,18065,34800,33797,44200,32246,28480,34565,13256,26872,14560,13309,22555,11613,25544,12139,23009,14818,17202,9179,32340,15448,12951,6725,52180,8704,14935,7336,5747,5907,5471,10663,5808,4936,9040,4472,3666,4061,4069,7069,7643,8478,2959,4615,2206,3696,3468,2749,1673,10436,1549,2313,2410,1275,2325,2316,1231,2789,1209,759,653,987,397,374,386,261,486,157,572,464,280,128,258,104,57,50,110,23,55,33,49,36,46,12,11,7,5,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,37,0,63,0,0,0,0,0,26,0,13,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
OTU2,602,209,457,0,0,2934,8,0,16,23738,0,2788,0,0,36,9,0,4,4,186,0,1001,301,0,0,7954,0,0,2346,205,12,7,9707,0,0,0,0,0,28,59,18,12775,4347,12080,5,29782,127,12,458,78,19,108,6,3462,50692,2214,3457,39159,8,4693,17178,15047,22,15717,62,0,887,0,0,32932,22472,328,383,76,441,1252,64128,0,1468,0,749,0,15459,1096,154,43015,14130,18763,2729,2121,34542,1287,2196,2803,31335,1236,374,18339,22078,7280,37821,16271,179696,37923,10894,53506,12337,31609,198,3710,69294,31810,26995,42256,29161,40624,57361,31385,32906,39407,12164,22817,19513,24003,7660,58375,8674,70440,3827,22925,26575,8352,3902,10103,1023,62953,877,691,2880,888,400,1359,255,159,948,223,213,729,49,21125,17,3209,41,11,13,22380,0,0,0,0,0,0,0,0,0,0,0
OTU3,0,0,15,0,174,59,0,7,0,0,0,65,0,0,7,0,0,28,0,7,136,0,1399,0,0,0,4,5,0,0,0,33,0,0,17,0,147,0,0,0,0,0,0,0,7,0,9,0,0,0,0,55,0,0,0,27,0,0,0,0,242,0,12,0,43,0,0,223,0,0,3773,0,0,0,0,936,0,0,0,0,5831,0,0,2056,0,66,0,0,1158,0,0,605,66,0,462,18,0,0,0,0,69,0,0,40,0,23,0,0,413,284,207,540,157,0,0,0,0,0,1445,0,0,0,13,0,126,0,48,0,38,343,0,151,149,177,102,0,108,11,4070,1681,0,1420,61,1128,2522,125,222,0,1197,0,0,0,777,0,116,6409,2777,3190,2012,252,418,163,242,156,4,0,0
OTU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,5,0,0,234,0,0,0,0,0,0,0,0,0,700,0,0,0,1850,11,0,0,0,0,0,7,0,0,129,0,0,0,8,1503,184,65,0,0,0,511,0,27,0,0,0,32,43,190,0,331,52,522,0,0,3083,4250,15,1107,93,21763,837,0,0,656,1142,165,10,0,36,0,0,23,151,0,490,7,434,781,667,17,0,320,17,0,245,0,60,1501,0,224,0,0,0,0,0,0,0,0,0,182,0,9,0,0,0,0,0,0,46,0,909,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0
OTU5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,25,0,0,156,0,0,0,7,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,7,0,0,15,7,0,0,0,0,30,8,0,16,0,30,0,0,43,8,11,8,0,0,0,0,0,0,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,296,0,0,41,0,13,183,0,195,0,328,0,0,0,23,0,0,0,109,0,168,0,0,17,0,0,0,3005,381
OTU6,0,0,0,0,8,9,0,0,0,0,0,34,0,0,0,0,0,0,0,0,44,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,0,0,0,11,0,0,0,5,0,0,0,0,0,49,0,0,0,0,24,0,0,0,0,381,0,0,151,0,0,0,0,178,0,0,38,0,0,70,0,0,0,0,0,14,0,0,0,0,0,0,0,32,48,12,24,11,0,0,0,0,4,180,0,0,0,0,0,30,0,31,0,8,84,0,9,0,0,0,0,0,0,1075,203,0,76,0,113,283,0,0,0,250,0,0,0,43,0,0,1122,269,63,1078,9,103,32,15,162,0,0,0
OTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,101,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,20,0,0,25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,25,0,0,0,77,0,0,110,0,0,0,16,0,41,601,0,9,0,22,0,0,225,0,181,1664,32,0,0,0,0,0,0,0
OTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,265,407,0,32,0,401,42,0,0,31,93,14,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,14,0,0,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,94,0,0,0,0,28,0,0,0,0,321,0,0,70,0,0,0,0,99,0,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,77,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,111,38,0,0,0,24,68,0,0,0,58,0,0,0,17,0,0,1057,246,18,0,0,0,0,4,0,0,0,0
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,281,0,0,0,0,19,0,0,0,0,190,0,0,0,0,0,0,0,23,0,0,58,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,17,0,0,0,13,0,0,0,0,67,143,0,0,0,51,0,0,0,0,0,0,0,0,38,0,0,87,42,0,0,18,44,0,0,0,0,0,0
