"","Sample","Proportion","Ct","OTU"
"1","X01C","1","19.77","OTU1"
"2","X01M","1","22.57","OTU1"
"3","X02C","0.794","29.82","OTU1"
"4","X02M","0.12725","33.51","OTU1"
"5","X03C","1","18.64","OTU1"
"6","X04C","0.9985","18.1","OTU1"
"7","X04M","0.9985","24.04","OTU1"
"8","X05C","0","23.13","OTU1"
"9","X05M","0","34.89","OTU1"
"10","X06C","0","22.59","OTU1"
"11","X06M","0","35.27","OTU1"
"12","X07C","0","28.87","OTU1"
"13","X08C","0.99675","26.25","OTU1"
"14","X08M","0.99575","25.89","OTU1"
"15","X09C","0","22.6","OTU1"
"16","X09M","0","29.25","OTU1"
"17","X10C","0.304","23.46","OTU1"
"18","X10M","0.11225","31.29","OTU1"
"19","X11C","0","21.69","OTU1"
"20","X11M","0.00725","29.39","OTU1"
"21","X12C","0.09775","24.77","OTU1"
"22","X12M","0.96875","25.56","OTU1"
"23","X13C","0.097","24.38","OTU1"
"24","X13M","0.99575","24.16","OTU1"
"25","X14C","0","26.11","OTU1"
"26","X15C","0.9995","18.58","OTU1"
"27","X15M","1","23.07","OTU1"
"28","X16C","0.02675","23.53","OTU1"
"29","X17C","0","22.85","OTU1"
"30","X18C","0","24.91","OTU1"
"31","X19C","0","23.65","OTU1"
"32","X19M","0","29.7","OTU1"
"33","X20C","0","22.78","OTU1"
"34","X20M","0","30.54","OTU1"
"35","X22C","0.99875","16.18","OTU1"
"36","X22M","1","20.17","OTU1"
"37","X23C","0.884","19.3","OTU1"
"38","X23M","0.99925","24.23","OTU1"
"39","X24C","0.0075","25.63","OTU1"
"40","X25C","0.79625","22.23","OTU1"
"41","X25M","0.9935","24.63","OTU1"
"42","X26C","1","22.65","OTU1"
"43","X26M","0.99175","29.75","OTU1"
"44","X27C","0","23.25","OTU1"
"45","X27M","0","28.4","OTU1"
"46","X28C","0.99425","18.61","OTU1"
"47","X28M","1","20.68","OTU1"
"48","X29C","0.004","26.71","OTU1"
"49","X29M","0.00125","29.21","OTU1"
"50","X30C","0","23.94","OTU1"
"51","X31C","0.067","22.87","OTU1"
"52","X31M","0.161","30.8","OTU1"
"53","X32C","0.01525","26.11","OTU1"
"54","X34C","1","18.5","OTU1"
"55","X34M","1","19.1","OTU1"
"56","X35C","0.03675","24.87","OTU1"
"57","X36C","5e-04","28.05","OTU1"
"58","X37C","0.00675","22.89","OTU1"
"59","X37M","0","29.18","OTU1"
"60","X38C","0","23.57","OTU1"
"61","X38M","0","28.21","OTU1"
"62","X39C","1","22.48","OTU1"
"63","X39M","1","22.9","OTU1"
"64","X40C","0","24.99","OTU1"
"65","X40M","0","29.08","OTU1"
"66","X41C","0.95","21.83","OTU1"
"67","X41M","0.99925","25.46","OTU1"
"68","X42C","0","19.62","OTU1"
"69","X42M","0.0065","29.88","OTU1"
"70","X43C","0.9975","27.35","OTU1"
"71","X44C","0.99175","27.98","OTU1"
"72","X45C","0.00375","28.23","OTU1"
"73","X46C","0.046","27.92","OTU1"
"74","X47C","0.00025","24.12","OTU1"
"75","X47M","0.0075","33.27","OTU1"
"76","X48M","0.9595","28.03","OTU1"
"77","X49C","0.9905","19.86","OTU1"
"78","X50M","0.9995","23.93","OTU1"
"79","X51M","0.998","34.14","OTU1"
"80","X52C","0.00325","25.23","OTU1"
"81","X52M","0.00175","30.43","OTU1"
"82","X53C","0.21075","22.24","OTU1"
"83","X54C","0","21.07","OTU1"
"84","X55C","0.3285","25.35","OTU1"
"85","X56M","0.998","31.92","OTU1"
"86","X57M","0.999","27.24","OTU1"
"87","X58M","0.9995","26.87","OTU1"
"88","X60C","0.01725","26.07","OTU1"
"89","X60M","0.02225","27.97","OTU1"
"90","X61C","0","26.29","OTU1"
"91","X62C","0.53775","24.71","OTU1"
"92","X62M","0.9445","31.1","OTU1"
"93","X64C","0.9925","21.76","OTU1"
"94","X65M","0.999","26.97","OTU1"
"95","X66C","0.9545","23.33","OTU1"
"96","X66M","0.47425","36.36","OTU1"
"97","X67C","0.392","26.99","OTU1"
"98","X68C","0.62525","26.1","OTU1"
"99","X69C","0.4325","23.03","OTU1"
"100","X69M","1","23.43","OTU1"
"101","X70C","1","18.86","OTU1"
"102","X71C","0","25.68","OTU1"
"103","X71M","0.17425","33.79","OTU1"
"104","X72C","0.702","21.47","OTU1"
"105","X72M","1","32.94","OTU1"
"106","X73C","0.56725","22.85","OTU1"
"107","X74C","0.00175","25.92","OTU1"
"108","X75C","0.1185","21.34","OTU1"
"109","X76C","0.75625","21.68","OTU1"
"110","X77C","0.6305","23.29","OTU1"
"111","X77M","0.999","27.87","OTU1"
"112","X79C","0.995","24.47","OTU1"
"113","X80C","0.0185","29.4","OTU1"
"114","X01C","0","19.77","OTU2"
"115","X01M","0","22.57","OTU2"
"116","X02C","0.15425","29.82","OTU2"
"117","X02M","0.0845","33.51","OTU2"
"118","X03C","0","18.64","OTU2"
"119","X04C","0.00025","18.1","OTU2"
"120","X04M","5e-04","24.04","OTU2"
"121","X05C","0.99775","23.13","OTU2"
"122","X05M","0.697","34.89","OTU2"
"123","X06C","0.99825","22.59","OTU2"
"124","X06M","0.96325","35.27","OTU2"
"125","X07C","0.7025","28.87","OTU2"
"126","X08C","0","26.25","OTU2"
"127","X08M","0","25.89","OTU2"
"128","X09C","1","22.6","OTU2"
"129","X09M","0.98125","29.25","OTU2"
"130","X10C","0.696","23.46","OTU2"
"131","X10M","0.7185","31.29","OTU2"
"132","X11C","0.9995","21.69","OTU2"
"133","X11M","0.973","29.39","OTU2"
"134","X12C","0.89825","24.77","OTU2"
"135","X12M","0.03025","25.56","OTU2"
"136","X13C","0.89775","24.38","OTU2"
"137","X13M","0.004","24.16","OTU2"
"138","X14C","0.98975","26.11","OTU2"
"139","X15C","5e-04","18.58","OTU2"
"140","X15M","0","23.07","OTU2"
"141","X16C","0.9715","23.53","OTU2"
"142","X17C","0.99975","22.85","OTU2"
"143","X18C","0.98375","24.91","OTU2"
"144","X19C","0.9855","23.65","OTU2"
"145","X19M","0.9245","29.7","OTU2"
"146","X20C","1","22.78","OTU2"
"147","X20M","0.981","30.54","OTU2"
"148","X22C","0.00125","16.18","OTU2"
"149","X22M","0","20.17","OTU2"
"150","X23C","0.00775","19.3","OTU2"
"151","X23M","0.00075","24.23","OTU2"
"152","X24C","0.97925","25.63","OTU2"
"153","X25C","0.203","22.23","OTU2"
"154","X25M","0.0065","24.63","OTU2"
"155","X26C","0","22.65","OTU2"
"156","X26M","0.0055","29.75","OTU2"
"157","X27C","0.99725","23.25","OTU2"
"158","X27M","0.99725","28.4","OTU2"
"159","X28C","0.00575","18.61","OTU2"
"160","X28M","0","20.68","OTU2"
"161","X29C","0.98325","26.71","OTU2"
"162","X29M","0.97575","29.21","OTU2"
"163","X30C","0.98825","23.94","OTU2"
"164","X31C","0.93075","22.87","OTU2"
"165","X31M","0.82275","30.8","OTU2"
"166","X32C","0.975","26.11","OTU2"
"167","X34C","0","18.5","OTU2"
"168","X34M","0","19.1","OTU2"
"169","X35C","0.961","24.87","OTU2"
"170","X36C","0.9735","28.05","OTU2"
"171","X37C","0.9925","22.89","OTU2"
"172","X37M","0.978","29.18","OTU2"
"173","X38C","0.99975","23.57","OTU2"
"174","X38M","0.9775","28.21","OTU2"
"175","X39C","0","22.48","OTU2"
"176","X39M","0","22.9","OTU2"
"177","X40C","0.97625","24.99","OTU2"
"178","X40M","0.99075","29.08","OTU2"
"179","X41C","0.05","21.83","OTU2"
"180","X41M","0","25.46","OTU2"
"181","X42C","1","19.62","OTU2"
"182","X42M","0.223","29.88","OTU2"
"183","X43C","5e-04","27.35","OTU2"
"184","X44C","0.00725","27.98","OTU2"
"185","X45C","0.84075","28.23","OTU2"
"186","X46C","0.0675","27.92","OTU2"
"187","X47C","0.99975","24.12","OTU2"
"188","X47M","0.32025","33.27","OTU2"
"189","X48M","0.036","28.03","OTU2"
"190","X49C","0.0095","19.86","OTU2"
"191","X50M","0","23.93","OTU2"
"192","X51M","0.00175","34.14","OTU2"
"193","X52C","0.94875","25.23","OTU2"
"194","X52M","0.8895","30.43","OTU2"
"195","X53C","0.78825","22.24","OTU2"
"196","X54C","1","21.07","OTU2"
"197","X55C","0.657","25.35","OTU2"
"198","X56M","0.002","31.92","OTU2"
"199","X57M","0.00025","27.24","OTU2"
"200","X58M","5e-04","26.87","OTU2"
"201","X60C","0.98125","26.07","OTU2"
"202","X60M","0.977","27.97","OTU2"
"203","X61C","0.9955","26.29","OTU2"
"204","X62C","0.46","24.71","OTU2"
"205","X62M","0.0055","31.1","OTU2"
"206","X64C","0.00675","21.76","OTU2"
"207","X65M","0.001","26.97","OTU2"
"208","X66C","0.0455","23.33","OTU2"
"209","X66M","0.258","36.36","OTU2"
"210","X67C","0.41225","26.99","OTU2"
"211","X68C","0.37475","26.1","OTU2"
"212","X69C","0.56675","23.03","OTU2"
"213","X69M","0","23.43","OTU2"
"214","X70C","0","18.86","OTU2"
"215","X71C","0.76575","25.68","OTU2"
"216","X71M","0.25675","33.79","OTU2"
"217","X72C","0.29625","21.47","OTU2"
"218","X72M","0","32.94","OTU2"
